vagrant@vagrant-ros:/workspace$ ros2 launch emotion_detection main.launch.py
[INFO] [launch]: All log files can be found below /home/vagrant/.ros/log/2023-05-19-03-53-11-841425-vagrant-ros-2527
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [face_detection-1]: process started with pid [2529]
[INFO] [emotion_detection-2]: process started with pid [2531]
[INFO] [action_client-3]: process started with pid [2533]
[emotion_detection-2] [INFO] [1684468443.583944090] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468443.589536680] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468443.612944444] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468443.694348281] [face_recognition]: Publishing video frame: 228
[face_detection-1] [INFO] [1684468443.848476395] [face_recognition]: Publishing video frame: 229
[face_detection-1] [INFO] [1684468444.082786673] [face_recognition]: Publishing video frame: 230
[face_detection-1] [INFO] [1684468444.213629608] [face_recognition]: Publishing video frame: 231
[face_detection-1] [INFO] [1684468444.430765772] [face_recognition]: Publishing video frame: 232
[face_detection-1] [INFO] [1684468444.557190040] [face_recognition]: Publishing video frame: 233
[face_detection-1] [INFO] [1684468444.692590195] [face_recognition]: Publishing video frame: 234
[emotion_detection-2] [INFO] [1684468444.878164567] [emotion_detection]: predicted emotion: Surprised
[action_client-3] [INFO] [1684468444.881561963] [action_client]: Emotion accepted -> proceeding...
[face_detection-1] [INFO] [1684468444.905997178] [face_recognition]: Publishing video frame: 235
[face_detection-1] [INFO] [1684468445.124495600] [face_recognition]: Publishing video frame: 236
[action_client-3] [INFO] [1684468445.137192096] [action_client]: Timer turned off
[action_client-3] [INFO] [1684468445.152215132] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468447.143341944] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468449.145502244] [action_client]: Resetting robot to original position
[action_client-3] [INFO] [1684468449.149232890] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468451.151536183] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468451.152381305] [action_client]: Resetting robot done!
[action_client-3] [INFO] [1684468451.155407619] [action_client]: Started emotion node!
[action_client-3] [INFO] [1684468451.371777305] [action_client]: Timer restarted!
[face_detection-1] [INFO] [1684468451.698152160] [face_recognition]: Publishing video frame: 237
[face_detection-1] [INFO] [1684468451.854826915] [face_recognition]: Publishing video frame: 238
[face_detection-1] [INFO] [1684468452.027369023] [face_recognition]: Publishing video frame: 239
[face_detection-1] [INFO] [1684468452.150564957] [face_recognition]: Publishing video frame: 240
[face_detection-1] [INFO] [1684468452.350407251] [face_recognition]: Publishing video frame: 241
[face_detection-1] [INFO] [1684468452.584236433] [face_recognition]: Publishing video frame: 242
[face_detection-1] [INFO] [1684468452.772602418] [face_recognition]: Publishing video frame: 243
[face_detection-1] [INFO] [1684468452.884586799] [face_recognition]: Publishing video frame: 244
[face_detection-1] [INFO] [1684468453.073853023] [face_recognition]: Publishing video frame: 245
[face_detection-1] [INFO] [1684468453.213901068] [face_recognition]: Publishing video frame: 246
[face_detection-1] [INFO] [1684468453.484522118] [face_recognition]: Publishing video frame: 247
[emotion_detection-2] [INFO] [1684468453.641713120] [emotion_detection]: predicted emotion: Surprised
[action_client-3] [INFO] [1684468453.646700979] [action_client]: Emotion accepted -> proceeding...
[face_detection-1] [INFO] [1684468453.658196239] [face_recognition]: Publishing video frame: 248
[face_detection-1] [INFO] [1684468453.870089484] [face_recognition]: Publishing video frame: 249
[action_client-3] [INFO] [1684468453.876903381] [action_client]: Timer turned off
[action_client-3] [INFO] [1684468453.883364249] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468455.886294119] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468457.889398625] [action_client]: Resetting robot to original position
[action_client-3] [INFO] [1684468457.893879201] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468459.898059266] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468459.898981088] [action_client]: Resetting robot done!
[action_client-3] [INFO] [1684468459.905588348] [action_client]: Started emotion node!
[action_client-3] [INFO] [1684468460.151107733] [action_client]: Timer restarted!
[face_detection-1] [INFO] [1684468460.485031353] [face_recognition]: Publishing video frame: 250
[face_detection-1] [INFO] [1684468460.633541244] [face_recognition]: Publishing video frame: 251
[face_detection-1] [INFO] [1684468460.815486377] [face_recognition]: Publishing video frame: 252
[face_detection-1] [INFO] [1684468460.955867322] [face_recognition]: Publishing video frame: 253
[face_detection-1] [INFO] [1684468461.153089598] [face_recognition]: Publishing video frame: 254
[face_detection-1] [INFO] [1684468461.286079734] [face_recognition]: Publishing video frame: 255
[face_detection-1] [INFO] [1684468461.476519071] [face_recognition]: Publishing video frame: 256
[emotion_detection-2] [INFO] [1684468461.636732318] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468461.657859321] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468461.694754081] [emotion_detection]: emotion declined!
